Date,Transparency
2016-08-08,-1.0350659
2016-08-09,-1.1978762
2016-08-12,-1.2605572
2016-08-16,-1.204196
2016-08-22,-0.995914
2016-08-30,-0.94244426
2016-09-09,-1.0625851
2016-09-12,-1.2597629
2016-09-14,-0.91183865
2016-09-21,-0.77759284
2016-09-26,-0.7401107
2016-10-03,-0.7967375
2016-10-05,-0.7379437
2016-10-11,-0.79900664
2016-10-17,-0.80791265
2016-10-24,-0.8094658
2016-11-09,-0.99091667
2016-11-17,-1.0452331
2016-11-24,-1.4499135
2016-11-29,-1.142486
2016-12-14,-1.3015845
2016-12-21,-0.9137253
2016-12-29,-1.1788218
2017-01-04,-0.9430001
2017-01-13,-1.0268878
2017-01-25,-0.70085317
2017-02-01,-1.3070794
2017-02-07,-1.0360883
2017-02-14,-1.1924933
2017-02-15,-1.2715954
2017-02-28,-1.4720336
2017-03-07,-2.2207897
2017-03-21,-1.89466
2017-03-28,-3.5788255
2017-04-25,-3.5823917
2017-05-11,-4.871
2017-05-12,-3.9252298
2017-05-18,-3.7872488
2017-05-31,-4.306864
2017-06-06,-4.7407165
2017-06-14,-4.819758
2017-06-23,-4.122231
2017-06-27,-4.843145
2017-07-06,-4.6792274
2017-07-11,-4.7427845
2017-07-19,-4.1671267
2017-07-28,-4.544353
2017-07-31,-2.2709289
2017-08-08,-1.5391489
2017-08-18,-1.0518698
2017-08-24,-0.9329458
2017-08-29,-0.88634
2017-09-06,-0.94945353
2017-09-14,-1.0084094
2017-09-20,-0.93485856
2017-09-29,-0.95570034
2017-10-05,-0.9448723
2017-10-10,-1.0829065
2017-10-19,-0.85194695
2017-10-25,-1.199535
2017-10-31,-1.1636288
2017-11-08,-1.0320529
2017-11-16,-0.9044871
2017-11-21,-1.0891136
2017-11-29,-1.1785787
2017-12-05,-1.1165371
2017-12-14,-1.2258036
2017-12-21,-1.3907126
2017-12-26,-1.3567066
2018-01-10,-1.9158945
2018-01-17,-2.016612
2018-01-24,-2.3111298
2018-02-01,-0.98457456
2018-02-08,-1.8139943
2018-02-14,-1.8541467
2018-02-22,-1.7884375
2018-03-02,-1.9498665
2018-03-08,-1.9988362
2018-03-15,-1.5721492
2018-03-21,-2.046536
2018-03-27,-2.6780493
2018-04-04,-3.180651
2018-04-13,-2.9541395
2018-04-18,-4.278544
2018-05-02,-4.233222
2018-05-11,-3.3019378
2018-05-16,-3.6637576
2018-05-23,-5.2787223
2018-05-29,-4.466985
2018-06-07,-4.5319057
2018-06-14,-4.5866127
2018-06-22,-3.790577
2018-06-29,-3.7879066
2018-07-04,-3.1337807
2018-07-12,-4.198484
2018-07-20,-3.6954832
2018-07-24,-3.4081676
2018-08-01,-3.4460623
2018-08-07,-4.6388745
2018-08-16,-4.3584647
2018-08-23,-5.1323457
2018-08-30,-4.3117437
2018-09-06,-4.7173786
2018-09-14,-3.0732977
2018-09-20,-3.5108347
2018-09-26,-4.0519037
2018-10-04,-4.2971983
2018-10-10,-5.144019
2018-10-18,-5.211034
2018-10-23,-3.2837634
2018-10-31,-4.6075788
2018-11-08,-4.7944894
2018-11-16,-3.6663356
2018-11-21,-2.9999955
2018-11-30,-4.9191613
2018-12-03,-5.5101485
2018-12-12,-4.7684264
2018-12-18,-4.600135
2019-01-09,-5.0901394
2019-01-17,-5.3008685
2019-01-25,-5.472458
2019-02-06,-3.0354862
2019-02-14,-5.3928075
2019-02-21,-5.4194117
2019-03-01,-5.272221
2019-03-07,-4.4114394
2019-03-14,-4.8519897
2019-03-20,-3.8552005
2019-03-25,-5.065287
2019-04-05,-5.20773
2019-04-12,-5.214184
2019-04-17,-4.7106476
2019-04-29,-3.0575335
