Date,Transparency
2016-08-08,-1.0127915
2016-08-09,-1.1128507
2016-08-12,-1.098888
2016-08-16,-1.1520461
2016-08-22,-0.9134983
2016-08-30,-0.88309985
2016-09-09,-0.9929321
2016-09-12,-1.0041393
2016-09-14,-1.179228
2016-09-21,-0.72798777
2016-09-26,-0.7813966
2016-10-03,-0.78762674
2016-10-05,-0.7899874
2016-10-11,-0.8016023
2016-10-17,-0.8109421
2016-10-24,-0.8596277
2016-11-09,-1.0213714
2016-11-17,-0.85122734
2016-11-24,-1.395702
2016-11-29,-1.2117306
2016-12-14,-1.3250378
2016-12-21,-1.0267916
2016-12-29,-0.98707336
2017-01-04,-1.0471824
2017-01-13,-0.93208283
2017-01-25,-0.73913324
2017-02-01,-1.16958
2017-02-07,-1.1030687
2017-02-14,-1.1736891
2017-02-15,-2.4644477
2017-02-28,-1.4855042
2017-03-07,-1.9049793
2017-03-21,-1.4556758
2017-03-28,-2.267535
2017-04-25,-2.272479
2017-05-11,-4.3441367
2017-05-12,-4.3924694
2017-05-18,-4.410216
2017-05-31,-3.9841485
2017-06-06,-4.36304
2017-06-14,-3.9061177
2017-06-23,-3.7629898
2017-06-27,-4.2964
2017-07-06,-3.1859157
2017-07-11,-3.7484956
2017-07-19,-3.2527916
2017-07-28,-3.0129118
2017-07-31,-2.110915
2017-08-08,-1.3275049
2017-08-18,-0.9505362
2017-08-24,-0.8677212
2017-08-29,-0.9490094
2017-09-06,-0.87864214
2017-09-14,-0.8501738
2017-09-20,-0.98950535
2017-09-29,-0.77786785
2017-10-05,-0.901769
2017-10-10,-1.1016761
2017-10-19,-0.9319048
2017-10-25,-1.141419
2017-10-31,-1.3700719
2017-11-08,-1.0600114
2017-11-16,-1.0174888
2017-11-21,-1.0405135
2017-11-29,-1.2460518
2017-12-05,-1.3118392
2017-12-14,-1.3090241
2017-12-21,-1.1009054
2017-12-26,-1.347276
2018-01-10,-2.0147882
2018-01-17,-2.1513689
2018-01-24,-2.3381019
2018-02-01,-0.791929
2018-02-08,-1.5650192
2018-02-14,-2.0319629
2018-02-22,-1.6254944
2018-03-02,-2.2004306
2018-03-08,-2.239319
2018-03-15,-1.9765899
2018-03-21,-2.5702448
2018-03-27,-3.1416533
2018-04-04,-3.0592515
2018-04-13,-3.4084053
2018-04-18,-4.7240415
2018-05-02,-4.185054
2018-05-11,-3.6596951
2018-05-16,-4.3580737
2018-05-23,-5.292117
2018-05-29,-4.566653
