Date,Transparency
2016-08-08,-0.972941
2016-08-09,-1.1702237
2016-08-12,-1.0942974
2016-08-16,-1.2604971
2016-08-22,-1.0063428
2016-08-30,-0.9432133
2016-09-09,-1.0729645
2016-09-12,-1.0801244
2016-09-14,-1.6915289
2016-09-21,-0.74532133
2016-09-26,-0.85189486
2016-10-03,-0.8405646
2016-10-05,-0.97383183
2016-10-11,-0.853116
2016-10-17,-0.872397
2016-10-24,-0.9593388
2016-11-09,-1.1925406
2016-11-17,-0.928034
2016-11-24,-1.4024652
2016-11-29,-1.3936039
2016-12-14,-1.5442502
2016-12-21,-1.135578
2016-12-29,-1.2248583
2017-01-04,-1.2992327
2017-01-13,-1.0104675
2017-01-25,-0.97443193
2017-02-01,-1.2733053
2017-02-07,-1.2928934
2017-02-14,-1.5289949
2017-02-15,-4.449841
2017-02-28,-1.7049707
2017-03-07,-1.5585047
2017-03-21,-1.5828133
2017-03-28,-1.6940258
2017-04-25,-2.6192317
2017-05-11,-4.180525
2017-05-12,-4.58114
2017-05-18,-5.02102
2017-05-31,-5.0545454
2017-06-06,-4.8748646
2017-06-14,-2.2738833
2017-06-23,-2.6330957
2017-06-27,-2.6203732
2017-07-06,-2.2249148
2017-07-11,-2.4428391
2017-07-19,-2.6503756
2017-07-28,-2.8514395
2017-07-31,-3.2693832
2017-08-08,-1.7358975
2017-08-18,-1.015023
2017-08-24,-1.00486
2017-08-29,-0.9347248
2017-09-06,-0.82806146
2017-09-14,-1.2268925
2017-09-20,-1.1527829
2017-09-29,-0.8070543
2017-10-05,-1.119408
2017-10-10,-1.2055367
2017-10-19,-1.1447865
2017-10-25,-1.4048772
2017-10-31,-1.4121103
2017-11-08,-1.0619059
2017-11-16,-0.94249815
2017-11-21,-1.0329667
2017-11-29,-1.4336704
2017-12-05,-1.3599696
2017-12-14,-1.3572639
2017-12-21,-1.0672399
2017-12-26,-1.4639298
2018-01-10,-2.0804691
2018-01-17,-2.5893652
2018-01-24,-2.7643354
2018-02-01,-1.5851105
2018-02-08,-1.8793961
2018-02-14,-2.0630362
2018-02-22,-1.8144047
2018-03-02,-2.351836
2018-03-08,-2.100837
2018-03-15,-1.7206315
2018-03-21,-2.9152257
2018-03-27,-3.4086554
2018-04-04,-3.5869656
2018-04-13,-3.592001
2018-04-18,-5.01098
2018-05-02,-2.9169676
2018-05-11,-3.4295864
2018-05-16,-3.097538
2018-05-23,-5.2881465
2018-05-29,-5.1031895
2018-06-07,-3.973879
2018-06-14,-3.6263678
2018-06-22,-4.2660832
2018-06-29,-3.9828935
2018-07-04,-3.9501958
2018-07-12,-4.053268
2018-07-20,-3.3006518
2018-07-24,-3.912888
2018-08-01,-3.1917562
2018-08-07,-3.9290862
2018-08-16,-2.5756752
2018-08-23,-3.0735743
2018-08-30,-2.6045125
2018-09-06,-2.8467276
2018-09-14,-2.7333913
2018-09-20,-4.4835067
2018-09-26,-2.6340842
2018-10-04,-3.2279468
2018-10-10,-2.4383397
2018-10-18,-2.929694
2018-10-23,-2.7718904
2018-10-31,-3.734562
2018-11-08,-3.6592665
2018-11-16,-4.0210567
2018-11-21,-2.8681586
2018-11-30,-3.4431152
2018-12-03,-3.9707778
2018-12-12,-3.5739803
2018-12-18,-3.6321993
2019-01-09,-3.4528346
2019-01-17,-5.033403
2019-01-25,-5.1033325
2019-02-06,-5.0801783
2019-02-14,-3.2395678
2019-02-21,-4.408946
2019-03-01,-4.837169
2019-03-07,-3.834687
2019-03-14,-4.615896
2019-03-20,-1.9186118
2019-03-25,-4.770694
2019-04-05,-2.3239722
2019-04-12,-3.0163643
2019-04-17,-2.5506008
2019-04-29,-2.1912117
2019-05-06,-2.1984289
2019-05-14,-1.6487811
2019-05-23,-2.7089245
2019-05-28,-2.1382554
