Date,Transparency
2016-08-08,-1.2740234
2016-08-09,-2.2025955
2016-08-12,-1.1690782
2016-08-16,-1.3582091
2016-08-22,-1.0467076
2016-08-30,-1.0689204
2016-09-09,-1.0798827
2016-09-12,-1.1074493
2016-09-14,-1.2179037
2016-09-21,-0.95426935
2016-09-26,-0.8460698
2016-10-03,-0.89963657
2016-10-05,-0.9192022
2016-10-11,-0.9641117
2016-10-17,-0.99938846
2016-10-24,-1.1489424
2016-11-09,-1.2474253
2016-11-17,-1.2653542
2016-11-24,-1.451282
2016-11-29,-1.3012769
2016-12-14,-1.6167887
2016-12-21,-0.995308
2016-12-29,-1.186784
2017-01-04,-1.270208
2017-01-13,-1.203125
2017-01-25,-1.1520141
2017-02-01,-1.8740219
2017-02-07,-1.2739943
2017-02-14,-1.22069
2017-02-15,-4.389785
2017-02-28,-2.4975543
2017-03-07,-2.8152754
2017-03-21,-3.0593448
2017-03-28,-4.5724998
2017-04-25,-3.7176163
2017-05-11,-4.7140455
2017-05-12,-3.6584601
2017-05-18,-5.1085563
2017-05-31,-5.453695
2017-06-06,-4.789489
2017-06-14,-5.5504003
2017-06-23,-4.9294643
2017-06-27,-4.1137786
2017-07-06,-4.981629
2017-07-11,-3.371345
2017-07-19,-3.8234801
2017-07-28,-4.17637
2017-07-31,-3.4382093
2017-08-08,-2.0535936
2017-08-18,-1.1725433
2017-08-24,-1.2275774
2017-08-29,-1.1588942
2017-09-06,-0.9507227
2017-09-14,-1.4559513
2017-09-20,-1.1217341
2017-09-29,-1.0130569
2017-10-05,-1.168446
2017-10-10,-1.1294221
2017-10-19,-1.0949482
2017-10-25,-1.483172
2017-10-31,-1.2373595
2017-11-08,-1.0972346
2017-11-16,-1.0424726
2017-11-21,-0.98134
2017-11-29,-1.3945668
2017-12-05,-1.3295645
2017-12-14,-1.2904146
2017-12-21,-1.7284675
2017-12-26,-1.7819928
2018-01-10,-1.9575409
2018-01-17,-2.2362285
2018-01-24,-2.5453615
2018-02-01,-1.958435
2018-02-08,-2.3334312
2018-02-14,-2.2977247
2018-02-22,-2.4840145
2018-03-02,-1.4443803
2018-03-08,-1.671291
2018-03-15,-1.423616
2018-03-21,-2.5006058
2018-03-27,-2.6620803
2018-04-04,-3.5693328
2018-04-13,-2.2047534
2018-04-18,-4.642094
2018-05-02,-3.9790547
2018-05-11,-4.370916
2018-05-16,-4.8708634
2018-05-23,-5.559154
2018-05-29,-5.3975058
2018-06-07,-5.4618087
2018-06-14,-5.3307533
2018-06-22,-5.353798
2018-06-29,-3.647902
2018-07-04,-4.220172
2018-07-12,-4.5358453
2018-07-20,-4.7880325
2018-07-24,-5.0973926
2018-08-01,-5.127821
2018-08-07,-5.602322
2018-08-16,-5.765091
2018-08-23,-5.7485075
2018-08-30,-5.8432903
2018-09-06,-5.436572
2018-09-14,-5.2623386
2018-09-20,-5.5360727
2018-09-26,-4.8967233
2018-10-04,-5.6227913
2018-10-10,-5.786724
