Date,Transparency
2021-01-27,-3.4018095
2021-02-01,-3.2824414
2021-02-11,-3.9210453
2021-02-16,-4.733975
2021-02-23,-4.9489737
2021-03-05,-4.7013993
2021-03-11,-3.4071443
2021-03-17,-4.78964
2021-08-13,-1.9416816
2021-10-07,-1.5611527
2021-10-11,-1.5611527
2021-10-18,-2.5593498
2021-10-28,-2.6464837
2021-11-04,-3.415756
2021-11-18,-3.6384292
2021-11-25,-3.5906358
2021-12-01,-3.2425814
2021-12-10,-5.4236064
2021-12-15,-5.396165
2021-12-21,-4.687948
2021-12-28,-5.4384913
2022-01-12,-5.3739247
2022-01-19,-5.3958244
2022-01-27,-4.7571764
2022-02-02,-5.6245484
2022-02-10,-5.0138636
2022-02-16,-5.2807503
2022-02-24,-5.557058
2022-03-02,-5.362326
2022-03-11,-5.1379113
2022-03-24,-1.0988239
2022-03-28,-1.9775046
2022-04-06,-0.60128874
2022-04-11,-1.2419437
2022-04-19,-2.8376718
2022-04-22,-1.9925184
2022-04-27,-3.3716526
2022-05-06,-2.6387274
2022-05-13,-3.3315399
2022-05-18,-3.4520082
2022-05-18,-3.4520082
2022-05-26,-3.3446443
2022-06-02,-3.964675
2022-06-10,-3.9278517
2022-06-24,-4.100829
2022-06-30,-3.7135537
2022-07-20,-4.387722
2022-07-20,-4.387722
2022-07-28,-4.64214
2022-08-03,-3.8255835
2022-08-11,-3.719929
2022-08-17,-4.3787236
2022-08-24,-3.963546
2022-09-01,-5.339612
2022-09-07,-5.530099
2022-09-15,-4.3611307
2022-09-21,-3.9930422
2022-09-29,-4.022103
2022-10-05,-3.4515996
2022-10-11,-2.8648329
2022-10-18,-4.580182
2022-10-26,-5.043642
2022-11-02,-5.2613244
2022-11-09,-4.1101885
2022-11-17,-5.4911757
2022-11-24,-5.367571
2022-12-01,-5.283935
2022-12-07,-4.572006
2022-12-16,-4.896033
2022-12-20,-5.4996204
2022-12-27,-5.6737704
2023-01-03,-5.327965
2023-01-10,-5.721698
2023-01-20,-5.7200193
2023-01-25,-4.748204
2023-01-25,-4.748204
2023-02-01,-5.8038855
2023-02-08,-5.019485
2023-02-14,-4.861737
2023-02-23,-5.436418
2023-02-23,-5.436418
2023-03-01,-5.480706
2023-03-08,-5.7598195
2023-03-16,-5.6984205
2023-03-16,-5.6984205
2023-03-22,-5.795659
2023-03-22,-5.795659
2023-04-04,-5.5732636
2023-04-11,-4.318521
2023-04-20,-4.320909
2023-04-20,-4.320909
2023-04-27,-3.0351737
2023-05-04,-4.3183026
2023-05-11,-4.315298
2023-05-18,-4.317289
2023-05-25,-3.1922414
2023-05-31,-4.1214347
2023-06-05,-4.1218853
2023-06-05,-4.1218853
2023-06-13,-3.3358722
2023-06-21,-3.531141
2023-06-28,-3.036116
2023-07-05,-4.094269
2023-07-12,-3.2477293
2023-07-19,-3.9914117
2023-07-26,-3.8016493
2023-08-01,-4.312493
2023-08-10,-4.025053
2023-08-17,-4.009151
2023-08-24,-3.530208
2023-08-30,-4.0245337
2023-09-07,-4.324281
2023-09-13,-4.3241525
2023-09-21,-4.318568
2023-09-27,-3.0404978
2023-10-05,-3.3360882
2023-10-11,-3.511192
2023-10-17,-3.88666
2023-10-25,-3.9786446
2023-10-31,-4.1986895
2023-11-08,-4.320236
2023-11-16,-4.321646
2023-11-24,-4.3158665
2023-11-29,-4.31355
2023-12-07,-4.3166227
2023-12-13,-4.4228687
2023-12-19,-4.4260864
2023-12-27,-4.331048
2024-01-03,-4.3303165
2024-01-09,-4.3333864
2024-01-16,-4.4255342
2024-01-23,-4.325384
2024-02-01,-4.4255204
2024-02-06,-4.336568
2024-02-13,-4.3374667
2024-02-20,-4.435889
2024-03-07,-4.3266745
2024-03-13,-4.424719
2024-03-20,-4.3171144
2024-03-26,-4.295095
2024-04-02,-4.2111087
2024-04-10,-4.5495253
2024-04-24,-4.5377975
2024-04-29,-4.1019263
2024-05-10,-4.3096824
2024-05-15,-4.6176224
2024-05-22,-4.543847
2024-05-29,-4.434413
2024-06-05,-4.4289923
2024-06-10,-4.0383577
2024-06-18,-4.5309453
2024-06-25,-4.50888
2024-07-03,-4.0132337
2024-07-09,-4.312029
2024-07-18,-4.541193
