CodPuntoControl,Latitud,Longitud,Nombre
CTD-1,37.8118,-0.784483,CTD-1
CTD-2,37.760617,-0.8078,CTD-2
CTD-3,37.761783,-0.78355,CTD-3
CTD-4,37.748233,-0.749617,CTD-4
CTD-5,37.74045,-0.727117,CTD-5
CTD-6,37.710417,-0.778383,CTD-6
CTD-7,37.718,-0.839783,CTD-7
CTD-8,37.694517,-0.8104,CTD-8
CTD-9,37.666817,-0.809683,CTD-9
CTD-10,37.659833,-0.781967,CTD-10
CTD-11,37.6518,-0.728883,CTD-11
CTD-12,37.68735,-0.783783,CTD-12
