Date,Transparency
2016-08-08,-1.1068395
2016-08-09,-1.361697
2016-08-12,-1.26271
2016-08-16,-1.2745023
2016-08-22,-1.0052404
2016-08-30,-1.0092148
2016-09-09,-1.0976037
2016-09-12,-1.0953342
2016-09-14,-1.0490279
2016-09-21,-0.89644694
2016-09-26,-0.7985458
2016-10-03,-0.89381427
2016-10-05,-0.74081576
2016-10-11,-0.8920996
2016-10-17,-0.90395135
2016-10-24,-0.908
2016-11-09,-1.0100902
2016-11-17,-1.1119819
2016-11-24,-1.2441345
2016-11-29,-1.1104363
2016-12-14,-1.2990521
2016-12-21,-0.90055376
2016-12-29,-1.0129986
2017-01-04,-1.1869069
2017-01-13,-1.1007862
2017-01-25,-0.8713604
2017-02-01,-1.3296038
2017-02-07,-1.0270677
2017-02-14,-1.1179566
2017-02-15,-2.2843611
2017-02-28,-1.5203035
2017-03-07,-2.4735658
2017-03-21,-1.7369304
2017-03-28,-2.1148973
2017-04-25,-3.8161614
2017-05-11,-4.0424337
2017-05-12,-3.433511
2017-05-18,-3.3098016
2017-05-31,-4.6327353
2017-06-06,-5.765577
2017-06-14,-5.546405
2017-06-23,-5.830101
2017-06-27,-6.126724
2017-07-06,-3.9783266
2017-07-11,-4.1067467
2017-07-19,-4.1139245
2017-07-28,-3.7333562
2017-07-31,-2.6034472
2017-08-08,-1.6170079
2017-08-18,-1.1006765
2017-08-24,-1.0954599
2017-08-29,-0.90834254
2017-09-06,-0.9893199
2017-09-14,-0.9319266
2017-09-20,-0.99485505
2017-09-29,-0.9983201
2017-10-05,-1.0321431
2017-10-10,-1.0044885
2017-10-19,-1.0747025
2017-10-25,-1.3699112
2017-10-31,-1.1859415
2017-11-08,-1.0017191
2017-11-16,-0.8361936
2017-11-21,-0.90303886
2017-11-29,-1.1080415
2017-12-05,-1.2970313
2017-12-14,-1.1126368
2017-12-21,-1.6033012
2017-12-26,-1.3317891
2018-01-10,-1.9835184
2018-01-17,-2.0962527
2018-01-24,-2.5887392
2018-02-01,-0.7873822
2018-02-08,-2.0614283
2018-02-14,-2.0012977
2018-02-22,-1.6173974
2018-03-02,-1.8643749
2018-03-08,-1.7885219
2018-03-15,-1.8407863
2018-03-21,-2.175197
2018-03-27,-2.4672873
2018-04-04,-3.196744
2018-04-13,-3.8386402
2018-04-18,-3.8891647
2018-05-02,-4.184408
2018-05-11,-4.1224775
2018-05-16,-5.434771
2018-05-23,-3.6077833
2018-05-29,-6.0470138
2018-06-07,-4.701104
2018-06-14,-6.1017833
2018-06-22,-5.582957
2018-06-29,-3.1417234
2018-07-04,-4.048629
2018-07-12,-4.2149706
2018-07-20,-4.12438
2018-07-24,-3.6267884
2018-08-01,-3.2761657
2018-08-07,-4.6451826
2018-08-16,-4.895072
2018-08-23,-5.031302
2018-08-30,-4.5593185
2018-09-06,-4.1581316
2018-09-14,-3.510719
2018-09-20,-4.149178
2018-09-26,-4.4100614
2018-10-04,-5.265569
2018-10-10,-5.827844
2018-10-18,-5.3093367
2018-10-23,-3.299353
2018-10-31,-4.02405
2018-11-08,-4.8404655
2018-11-16,-4.0871196
2018-11-21,-3.2508488
2018-11-30,-4.897257
2018-12-03,-5.829526
2018-12-12,-5.272056
2018-12-18,-4.9520593
2019-01-09,-6.1712008
2019-01-17,-6.1208897
2019-01-25,-6.0510836
2019-02-06,-4.1589904
2019-02-14,-6.1335216
2019-02-21,-6.115832
2019-03-01,-6.1147046
2019-03-07,-2.7958221
2019-03-14,-6.0127177
2019-03-20,-3.5641732
2019-03-25,-5.7062736
2019-04-05,-5.137185
2019-04-12,-5.183174
2019-04-17,-3.9356523
2019-04-29,-2.6651213
2019-05-06,-3.1229005
2019-05-14,-2.7129753
2019-05-23,-2.2337654
2019-05-28,-1.927294
2019-06-07,-1.9260751
2019-06-11,-2.6931858
2019-06-21,-2.8080537
2019-06-26,-2.483227
2019-07-03,-2.8610342
2019-07-12,-3.9313068
2019-07-16,-3.2342525
2019-07-25,-3.6508849
2019-07-30,-2.9326863
2019-08-08,-3.0202296
2019-08-14,-2.048029
2019-08-20,-2.3685956
