Date,Comunidad,O3,NO,NO2,NOx,NH3,NT,CO,SO2,PM10,Benceno,Tolueno,Xileno
2024-09-06 00:00:00,Mompean,63.3,1.4,8.3,10.4,---,---,0.10,7.90,11.87,0.30,0.43,0.47
2024-09-06 01:00:00,Mompean,63.3,1.1,6.3,8.1,---,---,0.12,5.60,10.33,0.40,0.72,0.42
2024-09-06 02:00:00,Mompean,52.3,1,9.9,11.5,---,---,0.10,4.20,12.05,0.30,0.83,0.50
2024-09-06 03:00:00,Mompean,47,1.2,13.4,15.2,---,---,0.11,3.50,13.8,0.32,0.92,0.55
2024-09-06 04:00:00,Mompean,40.7,1.2,14.7,16.5,---,---,0.13,4.40,15.32,0.40,1.88,0.97
2024-09-06 05:00:00,Mompean,43.7,1,12.6,14.2,---,---,0.12,4.80,15.58,0.40,1.73,0.85
2024-09-06 06:00:00,Mompean,28,1.4,20.9,22.9,---,---,0.14,3.80,17.55,0.47,2.18,0.93
2024-09-06 07:00:00,Mompean,12,12.6,44,63.4,---,---,0.17,5.80,20.4,0.57,3.45,1.12
2024-09-06 08:00:00,Mompean,6.3,20.4,44,75.1,---,---,0.20,8.10,21.35,0.72,5.42,1.62
2024-09-06 09:00:00,Mompean,7.3,38.8,47.2,107,---,---,0.24,7.10,27.58,0.78,3.58,1.95
2024-09-06 10:00:00,Mompean,23.7,16.3,41,66.1,---,---,0.20,8.40,33.6,0.87,5.13,4.28
2024-09-06 11:00:00,Mompean,52.8,5,22.5,30.2,---,---,0.13,4.40,22.63,0.67,4.58,4.20
2024-09-06 12:00:00,Mompean,51.5,12.3,34.2,53.2,---,---,0.14,6.20,23.98,0.43,2.78,1.93
2024-09-06 13:00:00,Mompean,57.2,6.9,22.9,33.4,---,---,0.14,5.20,15.95,0.32,1.62,1.17
2024-09-06 14:00:00,Mompean,58.3,6.3,20.4,30,---,---,0.12,8.40,15.52,0.30,2.30,1.23
2024-09-06 15:00:00,Mompean,59.5,6.6,20.4,30.6,---,---,0.11,7.40,13.68,0.33,4.30,0.98
2024-09-06 16:00:00,Mompean,69,4.1,13.4,19.7,---,---,0.11,7.60,14.5,0.32,3.32,0.95
2024-09-06 17:00:00,Mompean,75.2,3.4,14.4,19.7,---,---,0.13,9.20,14.57,0.33,2.83,1.05
2024-09-06 18:00:00,Mompean,73,3.4,12.5,17.8,---,---,0.12,7.40,13.87,0.30,1.72,0.58
2024-09-06 19:00:00,Mompean,63,4.3,16.2,22.7,---,---,0.12,7.80,12.97,0.30,2.20,0.90
2024-09-06 20:00:00,Mompean,52.8,4.9,28.6,36.1,---,---,0.12,6.50,15.13,0.37,1.65,1.18
2024-09-06 21:00:00,Mompean,59.3,3.1,22.5,27.3,---,---,0.13,6.70,15.53,0.35,1.60,0.95
2024-09-06 22:00:00,Mompean,67.3,3.3,24.5,29.5,---,---,0.14,6,16.95,0.32,1.38,0.83
2024-09-06 23:00:00,Mompean,70.7,1.9,16.6,19.6,---,---,0.12,8.50,16.67,0.33,1.27,0.75
2024-09-07 00:00:00,Mompean,70.3,2.6,20.6,24.6,---,---,0.11,5.70,16.27,0.30,1.15,0.68
2024-09-07 01:00:00,Mompean,71.5,1.9,16.4,19.4,---,---,0.11,4.30,18.4,0.30,0.75,0.52
2024-09-07 02:00:00,Mompean,82.8,1.6,11.1,13.5,---,---,0.10,3.70,22.37,0.30,0.47,0.47
2024-09-07 03:00:00,Mompean,81.2,1.3,7.9,9.9,---,---,0.12,3.80,24.65,0.30,0.40,0.42
2024-09-07 04:00:00,Mompean,77.8,1.3,7.3,9.4,---,---,0.13,4.40,25.72,0.30,0.40,0.40
2024-09-07 05:00:00,Mompean,72.5,1.3,7.6,9.6,---,---,0.13,5,23.38,0.30,0.40,0.40
2024-09-07 06:00:00,Mompean,76.3,1.3,7.6,9.6,---,---,0.12,4.30,25.37,0.30,0.40,0.40
2024-09-07 07:00:00,Mompean,72,1.8,11.7,14.4,---,---,0.13,3.80,25.77,0.30,0.50,0.47
2024-09-07 08:00:00,Mompean,66.3,2.6,12.6,16.6,---,---,0.13,4.70,25.9,0.30,0.40,0.40
2024-09-07 09:00:00,Mompean,33.7,3.8,21.5,27.4,---,---,0.15,8.70,31.02,0.35,0.82,0.47
2024-09-07 10:00:00,Mompean,40.7,3.6,15.2,20.7,---,---,0.14,8.30,38.2,0.40,1.12,0.52
2024-09-07 11:00:00,Mompean,57.3,2.5,10.3,14.1,---,---,0.12,9.90,33.28,0.35,0.98,0.50
2024-09-07 12:00:00,Mompean,68.7,2.4,9.7,13.4,---,---,0.13,6.60,28.37,0.30,0.78,0.50
2024-09-07 13:00:00,Mompean,61.3,7,28.9,39.7,---,---,0.15,5.10,25.53,0.38,0.85,0.53
2024-09-07 14:00:00,Mompean,66.5,5.5,27.5,36,---,---,0.16,6.10,25.58,0.37,1,0.83
2024-09-07 15:00:00,Mompean,72.2,3.7,18.1,23.7,---,---,0.17,6.90,20.95,0.43,1.47,0.97
2024-09-07 16:00:00,Mompean,---,---,---,---,---,---,---,---,---,---,---,---
2024-09-07 17:00:00,Mompean,80.3,3.8,20.7,26.7,---,---,0.16,8,21.23,0.38,0.65,0.52
2024-09-07 18:00:00,Mompean,84.5,3,23.2,27.9,---,---,0.16,6.70,20.55,0.40,0.63,0.45
2024-09-07 19:00:00,Mompean,100.2,2.5,27.1,30.9,---,---,0.15,8.70,19.02,0.40,0.85,0.50
2024-09-07 20:00:00,Mompean,88,2.3,29,32.5,---,---,0.14,9,20.43,0.45,1.25,0.52
2024-09-07 21:00:00,Mompean,68.8,3,31.1,35.7,---,---,0.18,10.10,20.37,0.43,1.55,0.60
2024-09-07 22:00:00,Mompean,54.7,3.7,36.6,42.4,---,---,0.17,11,21.57,0.43,1.53,0.87
2024-09-07 23:00:00,Mompean,53.8,2.3,32.8,36.4,---,---,0.14,7.60,21.27,0.43,1.17,0.58
2024-09-08 00:00:00,Mompean,62.7,2.3,23,26.5,---,---,0.14,6.90,23.3,0.40,0.95,0.50
2024-09-08 01:00:00,Mompean,44,3.9,41.2,47.1,---,---,0.15,7,28.6,0.40,0.88,0.55
2024-09-08 02:00:00,Mompean,33.5,3.7,39.7,45.4,---,---,0.15,1.90,41.18,0.47,1.78,0.85
